"","V1","V2"
"935",-123,41
"936",-123.55,39.81
"937",-123,40
"938",-123.47,40.35
"939",-123.6,39.73
"940",-124,41
"941",-144.85,60.34
"942",-124,42
"943",-130.25,54.64
"944",-129,54
"945",-127,52
"946",-122,39
"947",-121,41
"948",-122,41
"949",-121,40
"950",-121,39
"951",-122,41
"952",-123.77,39.34
"953",-123,39
"954",-123,39
"955",-123,39
"956",-122.94,38.55
"957",-118,39
"958",-122.56,38.22
"959",-123.2,38.75
"960",-122,39
"961",-119,37
"962",-120,36
"963",-119,36
"964",-121,36
"965",-118,35
"966",-119.71,34.44
"967",-118,34
"968",-120,36
"969",-117,34
"970",-116,33
"971",-117,33
"972",-117,33
"973",-115,31
"974",-121,41
"975",-120,38
"976",-116,32
"977",-123,40
"978",-122,43
"979",-122,42
"980",-121,45
"981",-122,50
"982",-120,51
"983",-113,46
"984",-117,49
"985",-117,48
"986",-120,49
"987",-121,48
"988",-122,46
"989",-121,46
"990",-119,46
"991",-109,38
"992",-115,45
"993",-117,43
"994",-119,43
"995",-118,42
"996",-120,42
"997",-118,41
"998",-120,41
"999",-119,40
"1000",-118,40
"1001",-118,37
"1002",-112,36
"1003",-118,37
"1004",-118,36
"1005",-117,36
"1006",-116,37
"1007",-117,37
"1008",-117,39
"1009",-117,39
"1010",-116,39
"1011",-115,39
"1012",-115,40
"1013",-119,48
"1014",-113,40
"1015",-116,41
"1016",-116,41
"1017",-117,41
"1018",-115,42
"1019",-112,43
"1020",-112,44
"1021",-111,44
"1022",-114,40
"1023",-110,37
"1024",-112,42
"1025",-112,38
"1026",-115,36
"1027",-117,36
"1028",-113,36
"1029",-115,35
"1030",-115,36
"1031",-111,36
"1032",-113,39
"1033",-112,40
"1034",-112,39
"1035",-120,39
"1036",-105,37
"1037",-105,40
"1038",-107,39
"1039",-112,43
"1040",-109,43
"1041",-114,36
"1042",-112,35
"1043",-114,34
"1044",-117,50
"1045",-122,52
"1046",-124.78,50.02
"1047",-108.98,48.78
"1048",-101,46
"1049",-106,48
"1050",-112,51
"1051",-115,51
"1052",-100,51
"1053",-101,47
"1054",-96,29
"1055",-99,36
"1056",-115,49
"1057",-94,45
"1058",-99,36
"1059",-94,45
"1060",-99,29
"1061",-100,33
"1062",-108,45
"1063",-104,39
"1064",-101,47
"1065",-110,54
"1066",-103,43
"1067",-103,40
"1068",-95,41
"1069",-95,40
"1070",-99,43
"1071",-85,37
"1072",-93,33
"1073",-90,43
"1074",-88,44
"1075",-96,41
"1076",-86,40
"1077",-98,34
"1078",-100,42
"1079",-95,45
"1080",-95,31
"1081",-88,46
"1082",-78,44
